id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
21,2026-01-13,179,34,2,9,"1,709.14","1,963.14",
29,,1101,7,8,12,,54.06,
32,2025/07/28,388,22,6,4,822.52,-,
35,19/01/2025,1139,79,1,3,"1,847.73",191.44,
64,20-07-2025,1081,75,8,1,"109,72",17.48,
75,21/11/2025,1345,51,15,1,,-,
76,20-09-2025,2671,14,9,5,"1,563.09",381.13,
105,27-12-2025,2797,80,3,1,"209,72",52.00,
113,2025/12/03,1715,34,3,6,,,
126,2025-10-07,1595,18,7,9,,291.84,
132,2025/05/23,2110,34,12,11,"890,91","177,49",
136,,1873,36,14,4,685.85,"97,17",
145,20/04/2025,2461,80,7,12,393.01,55.94,
153,2026-01-28,1016,28,12,8,"165,57",24.61,
158,08-04-25,1121,67,7,12,"985,24",189.50,
181,31/01/2025,1945,37,11,5,,210.72,
193,2025-07-22,1786,56,15,12,"1.316,23",-,
208,2025-06-10,3614,78,4,4,472.52,36.01,
209,2026/02/07,1974,25,13,9,72.55,"18,01",
210,2025-07-17,2680,12,10,5,,,
218,2025-04-22,3630,1,9,2,-,88.01,
241,03-02-25,657,22,3,4,,199.83,
243,2025/10/09,634,16,14,3,"1,585.52",283.81,
249,07/09/2025,1500,73,4,6,,-,
250,2025-04-02,1771,63,14,3,424.38,72.81,
251,2025-06-21,1262,68,1,5,601.96,120.32,
254,06-06-25,917,23,1,6,"1.042,39",132.79,
255,22-03-2025,2003,60,1,2,275.48,,
256,07-28-25,2083,71,12,9,,326.26,
260,2025/01/14,971,57,13,6,"595,33",132.98,
262,02-14-25,1441,1,12,7,,,
283,,254,65,13,12,"311,50","25,08",
298,2026-02-10,2390,2,14,9,,396.87,
299,05-05-2025,2724,18,5,7,1142.36,88.50,
311,18-01-2026,236,19,8,12,662.47,34.15,
312,13/06/2025,1894,10,13,2,"1.944,37",129.58,
326,27-02-2025,2429,22,3,1,"740,50",-,
328,01-08-26,2035,34,9,8,,201.21,
337,2025/07/24,3574,35,4,10,1304.27,"136,32",
345,2025/08/11,1606,47,12,1,323.93,38.26,
359,12-29-25,3785,8,6,1,,-,
