id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado,motivo_rechazo
2,2465,,7076.25,Abierto,fecha_error
4,14299,,274.63,Abierto,fecha_error
5,12908,,9377.69,Rechazado,fecha_error
6,5107,,10535.74,,fecha_error
7,3379,,10513.3,Abierto,fecha_error
9,18118,,,Cerrado,"fecha_error,monto_error"
10,19947,,8801.03,Cerrado,fecha_error
11,6448,,1.61938,Abierto,fecha_error
12,4096,,,Rechazado,"fecha_error,monto_error"
14,8260,,,,"fecha_error,monto_error"
15,19142,,14533.77,Abierto,fecha_error
16,16312,,,Abierto,"fecha_error,monto_error"
17,2112,,11.99556,Cerrado,fecha_error
18,4445,,,,"fecha_error,monto_error"
19,5547,,5714.06,Cerrado,fecha_error
20,21508,,8867.02,,fecha_error
21,8637,,4335.01,Abierto,fecha_error
22,6924,,10436.86,Cerrado,fecha_error
23,5261,,6636.22,Abierto,fecha_error
25,719,,3257.92,,fecha_error
26,7930,,1326.94,Abierto,fecha_error
28,3123,,,Cerrado,"fecha_error,monto_error"
29,18397,,1485.06,Abierto,fecha_error
30,20396,,,,"fecha_error,monto_error"
31,14500,,,Cerrado,"fecha_error,monto_error"
32,20349,,-6166.3,,fecha_error
34,14393,,,Cerrado,"fecha_error,monto_error"
35,15273,,13959.68,Cerrado,fecha_error
37,504,,1.14351,Rechazado,fecha_error
38,1202,,2154.09,Cerrado,fecha_error
39,551,,,Abierto,"fecha_error,monto_error"
40,8220,,1.08173,Cerrado,fecha_error
41,4657,,9.2686,,fecha_error
42,3586,,11247.07,,fecha_error
43,11680,,10535.93,Cerrado,fecha_error
44,17906,,8.58031,Abierto,fecha_error
46,2860,,,Rechazado,"fecha_error,monto_error"
47,6904,,7795.35,Abierto,fecha_error
48,503,,3740.29,Rechazado,fecha_error
49,12852,,4828.13,,fecha_error
50,25778,,11437.5,,fecha_error
51,1344,,14278.06,,fecha_error
52,22187,,4886.0,Cerrado,fecha_error
53,11106,,2182.44,Cerrado,fecha_error
54,14544,,2132.56,Cerrado,fecha_error
55,19232,,5517.33,,fecha_error
56,14610,,,Abierto,"fecha_error,monto_error"
57,11757,,3.21508,Cerrado,fecha_error
58,9803,,,,"fecha_error,monto_error"
59,4806,,2856.71,Cerrado,fecha_error
60,15711,,2916.65,Cerrado,fecha_error
61,16070,,,,"fecha_error,monto_error"
62,14407,,8.01321,Cerrado,fecha_error
63,22281,,,,"fecha_error,monto_error"
64,10093,,11.00428,Cerrado,fecha_error
65,19562,,14057.33,Cerrado,fecha_error
68,4916,,5792.24,,fecha_error
69,14892,,14508.66,,fecha_error
70,18587,,5.91293,Cerrado,fecha_error
71,19836,,5377.67,,fecha_error
72,23320,,7245.79,,fecha_error
73,14099,,11459.27,Abierto,fecha_error
74,3314,,14502.38,Cerrado,fecha_error
75,9867,,1.88827,Abierto,fecha_error
76,18282,,,,"fecha_error,monto_error"
77,8700,,9.94891,Abierto,fecha_error
78,4535,,8534.49,Cerrado,fecha_error
79,7460,,11711.43,Cerrado,fecha_error
80,23359,,,,"fecha_error,monto_error"
81,10359,,,Cerrado,"fecha_error,monto_error"
83,16988,,14.09071,,fecha_error
84,2227,,10.15882,Abierto,fecha_error
85,7153,,5079.34,,fecha_error
86,25554,,,,"fecha_error,monto_error"
87,23591,,1777.81,Abierto,fecha_error
88,14027,,10253.14,Abierto,fecha_error
89,12761,,14.87071,Abierto,fecha_error
90,21277,,6602.43,Rechazado,fecha_error
91,80,,12.22982,Abierto,fecha_error
92,13736,,,,"fecha_error,monto_error"
94,15160,,3322.55,,fecha_error
96,17713,,7797.66,Abierto,fecha_error
97,13086,,,Rechazado,"fecha_error,monto_error"
98,19925,,1.22819,,fecha_error
